lib_id,games
5250,"[327, 93, 92, 552, 10, 22, 612, 545, 614, 615, 389, 107, 390, 139, 134, 206, 627, 628, 150, 616, 629]"
76767,"[612, 1748, 1260, 271, 281, 545, 165, 547, 1102, 92, 113, 544, 1101, 135, 54, 1323, 194, 389, 552, 1508, 177, 163, 295, 614, 615, 627, 628, 616, 629, 514, 2347, 2348, 2349, 2350, 1324, 515]"
86540,"[1, 298, 1025, 82, 5, 409, 657, 736, 422, 184, 113, 1520, 150, 2465, 27, 98, 107, 284, 653, 177, 163, 295, 661, 655, 664, 662, 658, 612, 614, 615, 346, 93, 1067, 347, 111, 350, 166, 112, 389, 139, 627, 628, 789, 865, 866, 44, 1774, 1775, 1076, 1077, 1078, 763, 92, 766, 776, 616, 1779, 705, 706, 707, 708, 709, 1521, 73, 1524, 1525, 1526, 1527, 1528, 75, 629, 38, 39, 40, 1083, 2610, 936, 639, 779, 3111, 3112, 3113]"
103360,"[612, 611, 613, 614, 615, 389, 627, 628, 616, 629]"
144736,"[612, 614, 615, 389, 627, 628, 616, 629]"
181212,"[612, 206, 545, 614, 615, 389, 107, 390, 627, 628, 616, 629]"
229911,"[611, 271, 612, 281, 547, 134, 139, 725, 544, 545, 107, 389, 10, 1109, 614, 206, 613, 150, 616, 2580, 2581, 615, 390, 627, 628, 279, 629]"
298950,"[10, 54, 43, 1, 82, 4, 512, 499, 2, 184, 339, 1261, 78, 1980, 1372, 2005, 1028, 203, 84, 551, 511, 554, 243, 98, 93, 138, 1025, 468, 847, 14, 875, 225, 92, 5, 585, 1457, 34, 46, 736, 657, 1307, 11, 451, 417, 469, 727, 143, 112, 1447, 521, 49, 88, 118, 69, 1941, 312, 513, 171, 81, 214, 1145, 1311, 129, 25, 1139, 71, 495, 1540, 146, 3151, 257, 1235, 595, 320, 529, 73, 797, 443, 422, 164, 321, 324, 514, 1036, 1877, 322, 232, 421, 67, 351, 1045, 420, 506, 327, 380, 194, 53, 105, 608, 3152, 2798, 1547, 89, 552, 454, 801, 119, 113, 137, 2129, 1985, 161, 103, 1269, 2853, 410, 9, 230, 189, 546, 229, 2360, 344, 1088, 72, 300, 442, 1046, 771, 228, 1058, 1815, 839, 1466, 165, 2240, 285, 798, 612, 110, 2366, 22, 545, 234, 275, 507, 1374, 115, 27, 77, 1474, 156, 1275, 1047, 250, 639, 857, 3153, 1322, 136, 791, 150, 992, 466, 291, 15, 125, 387, 508, 470, 738, 107, 742, 346, 99, 1496, 12, 1814, 929, 2645, 284, 653, 677, 679, 2994, 1059, 1060, 1061, 325, 51, 64, 60, 45, 338, 1391, 1392, 614, 341, 615, 1041, 357, 30, 31, 32, 676, 389, 390, 139, 134, 206, 627, 628, 279, 399, 770, 26, 412, 1354, 690, 747, 1475, 1476, 2133, 891, 671, 86, 2144, 453, 616, 247, 710, 2166, 1296, 75, 102, 1604, 634, 1031, 629, 715, 37, 38, 39, 1082, 1506, 2348, 2350, 1324, 1323, 515, 2191, 2055, 524, 3154, 535, 1971, 1306, 646, 1133]"
299153,"[612, 611, 613, 545, 614, 615, 389, 107, 390, 206, 627, 628, 616, 629]"
381543,"[612, 611, 613, 614, 615, 389, 627, 628, 616, 629]"
